COURSE_TITLE,SUBJECT,TEACHER,EXAMINA/DATE,DAY,HOUR,TYPE
MATH F111,M1,ANIRUDH SINGH RANA,14/12 AN,M/W/F,4,L1
MATH F111,M1,Pradipkumar Haribhau Keskar,,,,
MATH F111,M1,Sangita Yadav,14/12 AN,T/TH/S,3,L2
MATH F111,M1,Balram Dubey,,,,
MATH F111,M1,Gaurav Dwivedi,14/12 AN,T/TH/S,5,L3
MATH F111,M1,Trilok Mathur,,,,
MATH F111,M1,Rahul Kumar,14/12 AN,F,1,T1
MATH F111,M1,Devendra Kumar,14/12 AN,F,1,T2
MATH F111,M1,Trilok Mathur,14/12 AN,F,1,T3
MATH F111,M1,Pramod Eyyunni,14/12 AN,F,1,T4
MATH F111,M1,Divyum Sharma,14/12 AN,F,1,T5
MATH F111,M1,Pradipkumar Haribhau Keskar,14/12 AN,TH,1,T6
MATH F111,M1,Pramod Eyyunni,14/12 AN,TH,1,T7
MATH F111,M1,Shailesh Trivedi,14/12 AN,TH,1,T8
MATH F111,M1,Divyum Sharma,14/12 AN,TH,1,T9
MATH F111,M1,Gaurav Dwivedi,14/12 AN,TH,1,T10
MATH F111,M1,Rahul Kumar,14/12 AN,TH,9,T11
MATH F111,M1,Sangita Yadav,14/12 AN,TH,9,T12
MATH F111,M1,Shailesh Trivedi,14/12 AN,TH,9,T13
MATH F111,M1,Devendra Kumar,14/12 AN,TH,9,T14
MATH F111,M1,Divyum Sharma,14/12 AN,TH,9,T15
MATH F111,M1,Jitender Kumar,14/12 AN,TH,9,T16
MATH F111,M1,Anirudh Singh Rana,14/12 AN,W,1,T17
MATH F111,M1,Jitender Kumar,14/12 AN,W,1,T18
MATH F111,M1,Rahul Kumar,14/12 AN,W,1,T19
MATH F111,M1,Shailesh Trivedi,14/12 AN,W,1,T20
MATH F111,M1,Trilok Mathur,14/12 AN,W,1,T21
MATH F111,M1,Balram Dubey,14/12 AN,W,1,T22
MATH F111,M1,Pramod Eyyunni,14/12 AN,W,1,T23
